iso_code,country,year,co2,consumption_co2,co2_per_capita,consumption_co2_per_capita
CHN,China,2020,10667.887,,7.412,
AFG,Afghanistan,2019,12.147,,0.319,
CHN,China,2018,10289.99,9285.067,7.208,6.504
CHN,China,2014,9985.583,8697.497,7.135,6.215
CHN,China,2013,9952.744,8599.146,7.151,6.178
CHN,China,2017,9920.459,8888.677,6.981,6.255
CHN,China,2015,9848.42,8680.58,7,6.17
CHN,China,2012,9775.622,8367.184,7.062,6.045
CHN,China,2016,9720.444,8700.417,6.874,6.153
CHN,China,2011,9528.556,8063.335,6.922,5.858
CHN,China,2010,8616.653,7297.77,6.295,5.332
CHN,China,2009,7886.533,6729.098,5.794,4.944
CHN,China,2008,7496.832,5978.994,5.539,4.417
CHN,China,2007,6978.612,5481.465,5.185,4.072
CHN,China,2006,6488.804,5052.366,4.848,3.775
USA,United States,2005,6134.521,6596.274,20.795,22.361
USA,United States,2007,6131.004,6618.792,20.395,22.018
USA,United States,2004,6114.007,6560.312,20.913,22.44
USA,United States,2006,6051.668,6595.172,20.324,22.149
USA,United States,2003,6011.837,6380.355,20.744,22.015
USA,United States,2000,6010.508,6255.891,21.336,22.207
USA,United States,2002,5946.771,6285.678,20.7,21.88
USA,United States,2008,5914.078,6313.033,19.487,20.802
USA,United States,2001,5904.882,6163.755,20.747,21.657
CHN,China,2005,5876.555,4754.123,4.416,3.572
USA,United States,1999,5804.669,5961.355,20.839,21.402
USA,United States,1998,5731.05,5795.627,20.827,21.062
USA,United States,1997,5686.465,5632.188,20.928,20.728
USA,United States,2010,5675.786,5998.163,18.368,19.411
USA,United States,1996,5610.582,5526.463,20.909,20.595
USA,United States,2011,5540.173,5942.503,17.781,19.072
USA,United States,2014,5522.807,5823.158,17.331,18.273
USA,United States,2009,5478.21,5795.485,17.885,18.92
USA,United States,2013,5474.257,5797.617,17.302,18.324
USA,United States,1995,5421.502,5356.474,20.446,20.201
USA,United States,2018,5375.491,5726.611,16.434,17.507
USA,United States,2015,5371.771,5699.688,16.741,17.763
USA,United States,1994,5358.824,5295.36,20.435,20.193
USA,United States,2012,5338.698,5714.303,17,18.196
